'a.xa [0.0, 0.0, -1.0, -1.0, -1.0] [1.0, 0.0]
'xa.da [0.0, 0.0, -1.0, -1.0, -1.0] [1.0, 0.0]
ga.'luu [0.0, 1.0, -1.0, -1.0, -1.0] [0.0, 1.0]
'so.lor [0.0, 0.0, -1.0, -1.0, -1.0] [1.0, 0.0]
'caa.rul [1.0, 0.0, -1.0, -1.0, -1.0] [0.0, 1.0]
'aa.ruul [1.0, 1.0, -1.0, -1.0, -1.0] [0.0, 1.0]
'boo.soo [1.0, 1.0, -1.0, -1.0, -1.0] [0.0, 1.0]
da.'laa.gaar [0.0, 1.0, 1.0, -1.0, -1.0] [0.0, 1.0]
øøg.'ʃøø.xe [1.0, 1.0, 0.0, -1.0, -1.0] [0.0, 1.0]
na.maa.'tuul.xa [0.0, 1.0, 1.0, 0.0, -1.0] [0.0, 1.0]
xøn.dii.'ryy.len [0.0, 1.0, 1.0, 0.0, -1.0] [0.0, 1.0]
bae.'guu.lag.dax [0.0, 1.0, 0.0, 0.0, -1.0] [0.0, 1.0]
taa.'ruu.lag.da.xa [1.0, 1.0, 0.0, 0.0, 0.0] [0.0, 1.0]
buu.za.nuu.'dii.je [1.0, 0.0, 1.0, 1.0, 0.0] [0.0, 1.0]
u.laan.baat.'riin.xan [0.0, 1.0, 1.0, 1.0, 0.0] [0.0, 1.0]
