iszik,iszikendő
eszik,eszikendő
harap,harapandó
szop,szopandó
köp,köpendő
hány,hányandó
fúj,fújandó
lélegzik,lélegzikendő
nevet,nevetendő
lát,látandó
hall,hallandó
tud,tudandó
gondol,gondolandó
szagol,szagolandó
fél,félendő
alszik,alszikandó
él,élendő
meghal,meghalandó
öl,ölendő
harcol,harcolandó
vadászik,vadászikandó
üt,ütendő
vág,vágandó
hasít,hasítandó
szúr,szúrandó
vakar,vakarandó
ás,ásandó
úszik,úszikandó
repül,repülendő
jár,járandó
jön,jönendő
fekszik,fekszikendő
ül,ülendő
áll,állandó
fordul,fordulandó
esik,esikendő
ad,adandó
tart,tartandó
sajtol,sajtolandó
dörgöl,dörgölendő
mos,mosandó
töröl,törölendő
húz,húzandó
tol,tolandó
hajít,hajítandó
köt,kötendő
varr,varrandó
számol,számolandó
mond,mondandó
énekel,énekelendő
játszik,játszikandó
lebeg,lebegendő
folyik,folyikandó
dagad,dagadandó
