iszik,iszikő
eszik,eszikő
harap,harapó
szop,szopó
köp,köpő
hány,hányó
fúj,fújó
lélegzik,lélegzikő
nevet,nevető
lát,látó
hall,halló
tud,tudó
gondol,gondoló
szagol,szagoló
fél,félő
alszik,alszikó
él,élő
meghal,meghaló
öl,ölő
harcol,harcoló
vadászik,vadászikó
üt,ütő
vág,vágó
hasít,hasító
szúr,szúró
vakar,vakaró
ás,ásó
úszik,úszikó
repül,repülő
jár,járó
jön,jönő
fekszik,fekszikő
ül,ülő
áll,álló
fordul,forduló
esik,esikő
ad,adó
tart,tartó
sajtol,sajtoló
dörgöl,dörgölő
mos,mosó
töröl,törölő
húz,húzó
tol,toló
hajít,hajító
köt,kötő
varr,varró
számol,számoló
mond,mondó
énekel,énekelő
játszik,játszikó
lebeg,lebegő
folyik,folyikó
dagad,dagadó
